Tanggal,Prod_OB,Prod_coal,Rain,Slippery,Rainfall
01/03/2021,25211,5329.89,0,0,0
02/03/2021,22451,4555.74,3.42,0,61
03/03/2021,20845,3534.98,2.25,4,3
04/03/2021,11322,2561.47,7.92,1.92,29
05/03/2021,24333,3378.43,0,0,0
06/03/2021,17377,3127.76,6.33,0,30
07/03/2021,18072.5,1346.13,5.75,3,5
08/03/2021,15302,175.6,8.17,2.67,19
09/03/2021,4714,265.39,14.07,6.85,25
10/03/2021,23326,3147.85,0,0,0
11/03/2021,25982,4294.82,0,0,0
12/03/2021,22933.5,5267.07,0,0,0
13/03/2021,21571,5455.34,1.92,1.33,3
14/03/2021,14414,3752.31,5.35,5.05,12
15/03/2021,21168.5,7405.34,0,0,0
16/03/2021,24693,6886.7,0,0,0
17/03/2021,25989,7155.06,0,0,0
18/03/2021,22279,6400.94,3.75,0.92,6
19/03/2021,25684,7234.28,0,0,0
20/03/2021,20937.5,5889.18,4.25,1.4,6
21/03/2021,25437,8758.66,0.33,0,2
22/03/2021,17707,7530.45,3.17,2.83,2
23/03/2021,7443,2563.69,9.18,8.07,12
24/03/2021,25744,9348.53,0,0,0
25/03/2021,15819.5,5096.2,3.85,4.95,8
26/03/2021,22321,7295.11,0,0,0
27/03/2021,21381.5,6468.01,1.83,2.2,3
28/03/2021,27852,6751.14,0,0,0
29/03/2021,17610,3697.05,9.58,0,42
30/03/2021,24936,4939.4,3.02,2.95,21
31/03/2021,15919,2341.14,4.97,1.85,26
